lookup_key,category,m2131_el,max_tier_possible,domain,notes
checkpoint-quantum-firewall|action|deny,network_activity,el2,el3,network,Blocked sessions
checkpoint-quantum-firewall|event_type|threat,ids_ips,el3,el3,network,Threat prevention events
cisco-asa|action|deny,network_activity,el2,el3,network,Blocked sessions
cisco-asa|event_type|threat,ids_ips,el3,el3,network,Threat events
cisco-duo|event_type|admin,privileged_access,el3,el3,identity,Admin configuration changes
cisco-duo|event_type|auth_failure,authentication,el1,el3,identity,Failed MFA
cisco-duo|event_type|auth_success,authentication,el1,el3,identity,Successful MFA
cisco-secure-client|event_type|login_fail,authentication,el1,el2,identity,Failed login attempts
cisco-secure-firewall|action|deny,network_activity,el2,el3,network,Blocked traffic
cisco-secure-firewall|event_type|threat,ids_ips,el3,el3,network,Threat events
cisco-secure-web-appliance|action|blocked,web_security,el2,el3,network,Blocked web access
cisco-umbrella-dns|action|blocked,dns_activity,el2,el3,dns,Blocked DNS queries
cisco-umbrella-dns|event_type|security_event,ids_ips,el3,el3,dns,Threat intelligence detection
citrix_hypervisor|event_type|admin_change,privileged_access,el2,el2,cloud,Administrative configuration changes
citrix_hypervisor|event_type|vm_create,cloud_configuration,el2,el2,cloud,VM lifecycle operations
cloud-workload-security|event_type|policy_violation,ids_ips,el3,el3,endpoint,Runtime security policy violations
cloudfront|status|401,authentication_failure,el1,el2,network,Unauthorized requests
cloudfront|status|403,authorization_failure,el1,el2,network,Forbidden requests
cloudfront|action|waf_block,web_security,el2,el3,network,Blocked by WAF association (if included)
cloudhsm|event_type|admin,privileged_access,el3,el3,cloud,Administrative actions (if explicitly logged)
cloudtrail|eventName|AttachRolePolicy,privileged_access,el1,el3,cloud,Privilege/policy change
cloudtrail|eventName|ConsoleLogin,authentication,el1,el3,cloud,Console authentication
cloudtrail|eventName|CreateUser,account_management,el1,el3,cloud,Account lifecycle
cloudtrail|eventCategory|Data,cloud_data_access,el3,el3,cloud,Data events (S3/Lambda etc.)
cloudtrail|eventCategory|Management,cloud_api_activity,el2,el3,cloud,Control plane activity
coredns|rcode|NOERROR,dns_activity,el2,el2,dns,Successful DNS resolution
coredns|rcode|NXDOMAIN,dns_activity,el2,el2,dns,Failed DNS lookups
couchdb|event_type|admin,privileged_access,el2,el2,application,Administrative actions if audited
couchdb|event_type|auth,authentication,el1,el2,application,Authentication events
crest_data_systems_automox|event_type|policy_change,privileged_access,el3,el3,endpoint,Admin/policy changes
crest_data_systems_barracuda_waf|event_type|alert,ids_ips,el3,el3,security,Security alerts
crest_data_systems_barracuda_waf|action|blocked,web_security,el2,el3,security,Blocked attack traffic
crest_data_systems_cisco_ise|event_type|policy_change,privileged_access,el3,el3,identity,Policy/admin changes
crest_data_systems_citrix_cloud|event_type|login,authentication,el1,el2,identity,User authentication events
crest_data_systems_cyberark_identity|event_type|admin_change,privileged_access,el3,el3,identity,Admin configuration changes
crest_data_systems_cyberark_pam|event_type|admin_change,privileged_access,el3,el3,identity,Administrative changes
crest_data_systems_cyberark_pam|event_type|session_start,authorization,el2,el3,identity,Privileged session start
crest_data_systems_dropbox|event_type|file_access,cloud_data_access,el2,el2,identity,File access telemetry
crest_data_systems_fortigate|action|deny,network_activity,el2,el3,network,Blocked sessions
crest_data_systems_fortigate|event_type|threat,ids_ips,el3,el3,network,Threat events
crest_data_systems_ibm_security_verify|event_type|admin_change,privileged_access,el3,el3,identity,Admin policy changes
crest_data_systems_illumio|action|deny,network_activity,el2,el3,network,Blocked traffic
crest_data_systems_manageengine_adaudit_plus|event_type|group_change,privileged_access,el2,el3,identity,Group/privilege changes
crest_data_systems_manageengine_adaudit_plus|event_type|user_create,account_management,el1,el3,identity,Account creation events
crest_data_systems_opnsense|action|deny,network_activity,el2,el3,network,Blocked traffic
crest_data_systems_opnsense|event_type|threat,ids_ips,el3,el3,network,Threat detection events
crest_data_systems_pfsense|action|deny,network_activity,el2,el3,network,Blocked traffic
crest_data_systems_sybase|event_type|auth,authentication,el1,el2,application,Login events
crest_data_systems_zia|action|blocked,web_security,el2,el3,network,Blocked web traffic
crest_data_systems_zpa|decision|deny,authorization,el2,el3,identity,Access decision denied
crowdstrike|event_simpleName|ProcessRollup2,endpoint_activity,el3,el3,endpoint,Process execution telemetry
crowdstrike|event_simpleName|UserLogon,authentication,el1,el3,endpoint,Endpoint logon event
delinea-privilege-manager|event_type|elevation,privileged_access,el3,el3,endpoint,Privilege elevation events
delinea-secret-server|event_type|admin_change,privileged_access,el3,el3,identity,Admin changes
delinea-secret-server|event_type|secret_access,authorization,el2,el3,identity,Secret retrieval
docdb|event_type|connect,authentication,el1,el2,cloud,Database connection/auth events (if present)
druid|event_type|admin,privileged_access,el2,el2,application,Administrative actions if audited
druid|event_type|auth,authentication,el1,el2,application,Authentication events if enabled
dotnet|event_type|login,authentication,el1,el2,application,Application login events if logged
dotnet|event_type|admin_change,privileged_access,el2,el2,application,Administrative/configuration changes
dynamodb|error_type|ThrottlingException,application_activity,el1,el2,cloud,Operational issue events
elasticsearch|event_type|audit,privileged_access,el2,el2,application,Audit/admin events if enabled
elasticsearch|event_type|auth,authentication,el1,el2,application,Authentication events
elb|elb_status_code|401,authentication_failure,el1,el2,network,Unauthorized requests
elb|elb_status_code|403,authorization_failure,el1,el2,network,Forbidden requests
elb|elb_status_code_family|5xx,application_activity,el1,el2,network,Upstream errors
envoy|response_code|401,authentication_failure,el1,el2,network,Unauthorized upstream requests
envoy|response_code|403,authorization_failure,el1,el2,network,Forbidden upstream requests
eset-protect|event_type|detection,security_telemetry,el3,el3,endpoint,Malware detection events
etcd|event_type|auth,authentication,el1,el2,cloud,Authentication attempts
etcd|event_type|write,privileged_access,el2,el3,cloud,Configuration/data store changes
exchange-server|event_type|admin,privileged_access,el2,el2,identity,Administrative mailbox/config changes
exchange-server|event_type|login,authentication,el1,el2,identity,User login events
extrahop|event_type|detection,ids_ips,el3,el3,network,Threat detections
f5xc|action|blocked,web_security,el2,el3,network,Blocked requests
f5xc|event_type|threat,ids_ips,el3,el3,network,Security detection events
fail2ban|event_type|ban,authorization,el2,el2,endpoint,IP banned due to failed auth
falco|event_type|rule_triggered,ids_ips,el3,el3,endpoint,Runtime detection events
fastly|status|403,authorization_failure,el1,el2,network,Forbidden requests
fastly|action|blocked,web_security,el2,el3,network,Blocked requests (if security enabled)
fauna|event_type|auth,authentication,el1,el2,application,Authentication attempts
fluxcd|event_type|apply,privileged_access,el2,el3,cloud,Configuration changes
forcepoint-secure-web-gateway|action|blocked,web_security,el2,el3,network,Blocked web traffic
forcepoint-security-service-edge|event_type|threat,ids_ips,el3,el3,network,Threat detections
fortinet-fortimanager|event_type|policy_change,privileged_access,el2,el2,network,Policy changes
gcp.audit|logName|ADMIN_ACTIVITY,cloud_api_activity,el2,el3,cloud,Admin activity
gcp.audit|logName|DATA_ACCESS,cloud_data_access,el3,el3,cloud,Data access logging
gcp.cloudsql.database|event_type|login,authentication,el1,el2,cloud,Database login events
gcp.gae.app|event_type|request,web_access,el2,el2,cloud,HTTP request logs
gcp.gce.firewall.rule|action|deny,network_activity,el2,el2,network,Denied traffic
gcp.gce.instance|event_type|start,cloud_configuration,el2,el3,cloud,Instance start events
gcp.gce.instance|event_type|stop,cloud_configuration,el2,el3,cloud,Instance stop events
gigamon|event_type|alert,ids_ips,el3,el3,network,Security detections
github.audit.streaming|event_type|repo_change,privileged_access,el2,el2,identity,Repository permission/config changes
gitlab-audit-events|event_type|permission_change,privileged_access,el2,el2,identity,Permission changes
gitlab|event_type|login,authentication,el1,el2,identity,User login events
gravitee|status|401,authentication_failure,el1,el2,application,Unauthorized API calls
gravitee|event_type|admin,privileged_access,el2,el2,application,Administrative configuration changes
greenhouse|event_type|login,authentication,el1,el2,identity,User login events
greenhouse|event_type|permission_change,privileged_access,el2,el2,identity,Role/permission changes
gsuite|event_type|admin_change,privileged_access,el3,el3,identity,Administrative configuration changes
gsuite|event_type|file_access,cloud_data_access,el2,el3,identity,Drive file access events
gsuite|event_type|login,authentication,el1,el3,identity,User login events
guardduty|event_type|finding,security_telemetry,el2,el2,security,Finding events
gunicorn|status|401,authentication_failure,el1,el2,application,Unauthorized requests
gunicorn|status|403,authorization_failure,el1,el2,application,Forbidden requests
haproxy|status|401,authentication_failure,el1,el2,network,Unauthorized requests
haproxy|status|403,authorization_failure,el1,el2,network,Forbidden requests
harbor|event_type|login,authentication,el1,el2,identity,User authentication events
harbor|event_type|repo_change,privileged_access,el2,el2,identity,Repository permission/config changes
hazelcast|event_type|auth,authentication,el1,el2,application,Authentication attempts if enabled
hbase|event_type|auth,authentication,el1,el2,application,Authentication events
hcp-terraform|event_type|apply,privileged_access,el3,el3,cloud,Infrastructure changes applied
hcp-terraform|event_type|login,authentication,el1,el2,cloud,User authentication events
hdfs_namenode|event_type|auth,authentication,el1,el2,application,Authentication events
heroku|event_type|app_change,privileged_access,el2,el2,cloud,Application configuration changes
heroku|event_type|login,authentication,el1,el2,cloud,User authentication events
hive|event_type|auth,authentication,el1,el2,application,Authentication attempts
hive|event_type|ddl,privileged_access,el2,el2,application,Schema/admin changes
hivemq|event_type|connect,authentication,el1,el2,application,Client connection events
hubspot-content-hub|event_type|login,authentication,el1,el2,identity,User login events
hubspot-content-hub|event_type|permission_change,privileged_access,el2,el2,identity,Permission changes
ibm_ace|event_type|admin_change,privileged_access,el2,el2,application,Administrative configuration changes
ibm_ace|event_type|auth,authentication,el1,el2,application,Authentication events if enabled
ibm_db2|event_type|audit,privileged_access,el2,el2,application,Administrative actions (if audit logging enabled)
ibm_db2|event_type|connect,authentication,el1,el2,application,Database login events
ibm_mq|event_type|auth,authentication,el1,el2,application,Queue authentication events
ibm_was|event_type|admin,privileged_access,el2,el2,application,Administrative console activity
ibm_was|event_type|login,authentication,el1,el2,application,Application login events
iboss|action|blocked,web_security,el2,el3,network,Blocked web traffic
iboss|event_type|threat,ids_ips,el3,el3,network,Threat detections (if enabled)
iis|sc_status|401,authentication_failure,el1,el2,application,Unauthorized access
iis|sc_status|403,authorization_failure,el1,el2,application,Forbidden access
imperva|event_type|alert,ids_ips,el3,el3,network,Security alerts
imperva|action|blocked,web_security,el2,el3,network,Blocked attack traffic
ios|event_type|auth,authentication,el1,el3,endpoint,Authentication events
ios|event_type|exec,endpoint_activity,el3,el3,endpoint,Process execution telemetry
istio|response_code|403,authorization_failure,el2,el2,network,Authorization denials
ivanti-connect-secure|event_type|login_fail,authentication,el1,el2,identity,Failed VPN login
jamf-pro|event_type|policy_change,privileged_access,el3,el3,endpoint,Administrative policy changes
jboss_wildfly|event_type|admin,privileged_access,el2,el2,application,Admin console changes
jboss_wildfly|event_type|login,authentication,el1,el2,application,Login events
jfrog_artifactory|event_type|login,authentication,el1,el2,identity,User authentication
jfrog_artifactory|event_type|permission_change,authorization,el2,el2,identity,Permission/admin changes
jfrog_platform|event_type|admin_change,privileged_access,el2,el2,identity,Admin/config changes (validate event field names)
jfrog_platform|event_type|login,authentication,el1,el2,identity,User authentication events
jira-audit-records|event_type|permission_change,authorization,el2,el2,identity,Permission/access control changes
jira-audit-records|event_type|user_login,authentication,el1,el2,identity,User login events
jumpcloud|event_type|admin_action,privileged_access,el3,el3,identity,Admin actions/policy changes (validate event field names)
jumpcloud|event_type|auth_failure,authentication,el1,el3,identity,Authentication failure
jumpcloud|event_type|auth_success,authentication,el1,el3,identity,Authentication success
juniper-srx-firewall|action|deny,network_activity,el2,el3,network,Dropped/blocked sessions
juniper-srx-firewall|event_type|threat,ids_ips,el3,el3,network,Threat/UTM events (validate event field names)
kafka|event_type|acl_change,authorization,el2,el2,application,ACL/authorization changes if logged
kafka|event_type|auth,authentication,el1,el2,application,SASL/auth events if enabled
kandji|event_type|device_enrollment,account_management,el1,el2,endpoint,Enrollment/device identity lifecycle
kandji|event_type|policy_change,privileged_access,el2,el2,endpoint,Admin policy changes
keeper|event_type|admin_action,privileged_access,el3,el3,identity,Admin changes/audit events
keeper|event_type|login,authentication,el1,el3,identity,User login events
keeper|event_type|vault_access,authorization,el2,el3,identity,Vault item access for investigations
keycloak|event_type|admin,privileged_access,el3,el3,identity,Realm/client/admin changes (validate event field names)
keycloak|event_type|login,authentication,el1,el3,identity,User login
kong|status|401,authentication_failure,el1,el2,application,Unauthorized API access
kong|status|403,authorization_failure,el1,el2,application,Forbidden API access
krakend|status|401,authentication_failure,el1,el2,application,Unauthorized
krakend|status|403,authorization_failure,el1,el2,application,Forbidden
kubernetes.audit|verb|create,privileged_access,el3,el3,cloud,Create operations in API server audit
kubernetes.audit|verb|delete,privileged_access,el3,el3,cloud,Delete operations in API server audit
kubernetes.audit|verb|patch,privileged_access,el3,el3,cloud,Patch operations in API server audit
kyverno|action|deny,authorization,el2,el3,cloud,Denied admission requests
kyverno|action|mutate,authorization,el2,el3,cloud,Mutation policy actions
lacework|event_type|alert,security_telemetry,el2,el3,security,Detection alerts
lambda|error_type|AccessDenied,authorization_failure,el1,el2,cloud,Access denied errors
lambda|event_type|invoke,application_activity,el1,el2,cloud,Invocation events (ops)
lastpass|event_type|admin_action,privileged_access,el3,el3,identity,Admin actions/audit events
lastpass|event_type|login,authentication,el1,el3,identity,User login events
lastpass|event_type|vault_access,authorization,el2,el3,identity,Vault item access
lighttpd|status|401,authentication_failure,el1,el2,application,Unauthorized
lighttpd|status|403,authorization_failure,el1,el2,application,Forbidden
linux-audit-logs|audit.type|AVC,authorization,el2,el3,endpoint,SELinux denial events
linux-audit-logs|audit.type|USER_AUTH,authentication,el1,el3,endpoint,Authentication events
linux-audit-logs|audit.type|USER_CMD,privileged_access,el3,el3,endpoint,Command execution/audit trail
mac-audit-logs|event_type|auth,authentication,el1,el3,endpoint,Authentication events
mac-audit-logs|event_type|exec,endpoint_activity,el3,el3,endpoint,Process execution telemetry
meraki|action|deny,network_activity,el2,el3,network,Blocked traffic
mongodb|event_type|auth,authentication,el1,el2,application,Authentication events
mongodb|event_type|command,privileged_access,el2,el2,application,Administrative command execution
mysql|event_type|connect,authentication,el1,el2,application,Database login events
mysql|event_type|query,application_activity,el1,el2,application,Query execution
netskope|action|blocked,web_security,el2,el3,network,Blocked web traffic
nginx|status|200,web_access,el1,el2,application,Successful HTTP request
nginx|status|401,authentication_failure,el1,el2,application,Unauthorized access
nginx|status|403,authorization_failure,el1,el2,application,Forbidden access
oci.dataflow|event_type|config_change,privileged_access,el2,el2,cloud,Pipeline configuration changes
oci.dataflow|event_type|job_run,application_activity,el1,el2,cloud,Data Flow job execution
oci.dataintegration|event_type|auth,authentication,el1,el2,cloud,Authentication events
oci.datascience|event_type|model_deploy,privileged_access,el2,el2,cloud,Model deployment/config changes
oci.delegateaccesscontrol|event_type|grant,privileged_access,el3,el3,identity,Privilege grants
oci.delegateaccesscontrol|event_type|revoke,privileged_access,el3,el3,identity,Privilege revocations
oci.devops|event_type|deployment,privileged_access,el2,el3,cloud,Deployment changes
oci.functions|event_type|invoke,application_activity,el1,el2,cloud,Function invocation
oci.goldengate|event_type|config_change,privileged_access,el2,el2,cloud,Replication configuration changes
oci.keymanagementservice|event_type|key_create,privileged_access,el3,el3,cloud,Key lifecycle management
oci.keymanagementservice|event_type|key_delete,privileged_access,el3,el3,cloud,Key deletion events
oci.kubernetes|verb|create,privileged_access,el3,el3,cloud,Create operations
oci.kubernetes|verb|delete,privileged_access,el3,el3,cloud,Delete operations
oci.loadbalancer|status|401,authentication_failure,el1,el2,network,Unauthorized access
oci.loadbalancer|status|403,authorization_failure,el1,el2,network,Forbidden access
oci.networkfirewall|action|deny,network_activity,el2,el3,network,Blocked traffic
oci.networkfirewall|event_type|threat,ids_ips,el3,el3,network,Threat detection events
oci.objectstorage|operation|DELETE,cloud_data_access,el2,el3,cloud,Object deletion
oci.objectstorage|operation|GET,cloud_data_access,el2,el3,cloud,Object read access
oci.objectstorage|operation|PUT,cloud_data_access,el2,el3,cloud,Object write access
oci.opctl|event_type|grant,privileged_access,el3,el3,cloud,Operator privilege grants
oci.postgresql|event_type|ddl,privileged_access,el2,el3,cloud,Schema/admin changes
oci.postgresql|event_type|login,authentication,el1,el2,cloud,Login events
oci.vcn|flow_direction|egress,network_activity,el2,el2,network,Outbound flow
oci.vcn|flow_direction|ingress,network_activity,el2,el2,network,Inbound flow
oci.vpn|event_type|connect,authentication,el1,el2,network,VPN authentication
octopus_deploy|event_type|deployment,privileged_access,el2,el3,application,Deployment configuration changes
octopus_deploy|event_type|user_login,authentication,el1,el2,application,User authentication events
okta-workflows|event_type|flow_change,privileged_access,el2,el2,identity,Workflow configuration changes
okta|eventType|policy.rule.update,privileged_access,el3,el3,identity,Admin policy change
okta|eventType|user.account.update,account_management,el1,el3,identity,Account modification
okta|eventType|user.session.end,authentication,el1,el3,identity,User logout
okta|eventType|user.session.start,authentication,el1,el3,identity,User login success
onelogin|event_type|admin_change,privileged_access,el3,el3,identity,Admin configuration changes
onelogin|event_type|login_failure,authentication,el1,el3,identity,Failed login attempt
openldap|event_type|bind,authentication,el1,el2,identity,LDAP bind events
openldap|event_type|modify,account_management,el1,el2,identity,Directory object changes
openstack|event_type|role_change,privileged_access,el3,el3,cloud,Role/policy changes
openvpn|event_type|auth_fail,authentication,el1,el2,network,Failed VPN login
oracle-fusion|event_type|login,authentication,el1,el2,identity,User login events
ossec|event_type|alert,ids_ips,el3,el3,endpoint,Security alert
palo-alto-cortex-xdr|event_type|alert,ids_ips,el3,el3,endpoint,Detection events
palo-alto-cortex-xdr|event_type|process,endpoint_activity,el3,el3,endpoint,Process execution
palo-alto-panorama|event_type|policy_change,privileged_access,el3,el3,network,Policy changes
pan.firewall|sub_type|THREAT,ids_ips,el3,el3,network,Threat logs
pan.firewall|sub_type|TRAFFIC,network_activity,el2,el3,network,Session traffic
panos|sub_type|THREAT,ids_ips,el3,el3,network,Threat detection event
panos|sub_type|TRAFFIC,network_traffic,el2,el3,network,Session traffic
perimeterx|action|blocked,web_security,el2,el3,network,Blocked bot/attack
pgbouncer|event_type|auth,authentication,el1,el2,application,Database login events
ping-federate|event_type|admin_change,privileged_access,el3,el3,identity,Admin configuration changes
ping-one|event_type|role_change,privileged_access,el3,el3,identity,Role changes
postfix|event_type|auth_fail,authentication,el1,el2,application,Failed SMTP authentication
postgresql|event_type|ddl,privileged_access,el2,el2,application,Schema/admin changes
postgresql|event_type|login,authentication,el1,el2,application,Login events
powerdns|rcode|NXDOMAIN,dns_activity,el2,el2,dns,Failed DNS lookup
presto|event_type|admin,privileged_access,el2,el2,application,Administrative changes
presto|event_type|auth,authentication,el1,el2,application,Authentication events
rapdev_redhat_satellite|event_type|host_register,account_management,el1,el2,endpoint,Host enrollment/lifecycle events
rapdev_redhat_satellite|event_type|package_update,privileged_access,el3,el3,endpoint,Administrative package updates
rapdev-glassfish|event_type|admin,privileged_access,el2,el2,application,Administrative console/config changes
rapdev-glassfish|event_type|login,authentication,el1,el2,application,User authentication events
ray|event_type|cluster_change,privileged_access,el2,el2,application,Cluster configuration changes (if audited)
ray|event_type|job_submit,application_activity,el1,el1,application,Job submission events if logged
react-native|event_type|auth_error,authentication_failure,el1,el1,application,Client-side authentication failures
recorded-future|event_type|alert,security_telemetry,el2,el2,security,Threat alerts and intelligence hits
redis|event_type|auth,authentication,el1,el2,application,Authentication attempts
redis|event_type|config_set,privileged_access,el2,el2,application,Configuration changes
redshift|event_type|auth,authentication,el1,el2,cloud,Login events (if present)
redshift|event_type|ddl,privileged_access,el2,el3,cloud,Schema/admin changes (if audited)
reflectiz|event_type|risk_detected,security_telemetry,el2,el2,security,Detected third-party risk
resend|event_type|delivery_fail,application_activity,el1,el2,application,Email delivery failures
rethinkdb|event_type|auth,authentication,el1,el2,application,Authentication events if enabled
rethinkdb|event_type|cluster_change,privileged_access,el2,el2,application,Cluster configuration changes
riak|event_type|auth,authentication,el1,el2,application,Authentication events if logged
ringcentral|event_type|admin_change,privileged_access,el2,el2,application,Administrative configuration changes
ringcentral|event_type|login,authentication,el1,el2,application,User login events
route53|rcode|NOERROR,dns_activity,el2,el2,dns,Successful resolution
route53|rcode|NXDOMAIN,dns_activity,el2,el2,dns,Failed lookup
runtime-security-agent|event_type|process_exec,endpoint_activity,el3,el3,endpoint,Process execution monitoring
s3|status|403,authorization_failure,el1,el2,cloud,Access denied to objects/buckets
s3|http_method|GET,cloud_data_access,el2,el3,cloud,Object read activity
s3|http_method|PUT,cloud_data_access,el2,el3,cloud,Object write activity
salesforce|event_type|login,authentication,el1,el2,identity,User login events
securityhub|event_type|finding,security_telemetry,el2,el2,security,Finding ingestion
sentinelone|activity_type|process,endpoint_activity,el3,el3,endpoint,Process execution telemetry
sns|event_type|publish,application_activity,el0,el1,cloud,Publish events (if logged)
sonicwall-firewall|action|deny,network_activity,el2,el3,network,Blocked traffic
sonicwall-firewall|event_type|threat,ids_ips,el3,el3,network,Threat detection
sshd|event|outcome=Accepted,authentication,el1,el2,endpoint,Successful SSH login
sshd|event|outcome=Failed,authentication,el1,el2,endpoint,Failed SSH login
stepfunction|event_type|execution_failed,application_activity,el1,el1,cloud,Failure events
sudo|event_type|COMMAND,privileged_access,el3,el3,endpoint,Command execution with elevated privileges
suricata|event_type|alert,ids_ips,el3,el3,network,Intrusion detection alert
temporal|event_type|namespace_update,privileged_access,el2,el2,application,Namespace/config changes if audited
temporal|event_type|workflow_start,application_activity,el1,el1,application,Workflow execution events
tenable|event_type|scan_result,security_telemetry,el2,el2,security,Scan findings
terraform-cloud|event_type|login,authentication,el1,el2,cloud,User authentication events
terraform-cloud|event_type|run_apply,privileged_access,el3,el3,cloud,Infrastructure changes applied
tibco_ems|event_type|auth,authentication,el1,el2,application,Authentication events if enabled
tomcat|status|401,authentication_failure,el1,el2,application,Unauthorized requests
tomcat|status|403,authorization_failure,el1,el2,application,Forbidden requests
tomcat|event_type|admin,privileged_access,el2,el2,application,Administrative configuration changes
torchserve|event_type|model_load,privileged_access,el2,el2,application,Model deployment/config changes
traefik|status|401,authentication_failure,el1,el2,network,Unauthorized requests
transitgateway|flow_direction|egress,network_activity,el2,el2,network,Outbound flow
transitgateway|flow_direction|ingress,network_activity,el2,el2,network,Inbound flow
trellix-endpoint-security|event_type|detection,ids_ips,el3,el3,endpoint,Security detections
twilio|event_type|auth,authentication,el1,el2,application,Authentication failures if logged
twingate|event_type|admin_change,privileged_access,el3,el3,identity,Administrative configuration changes
twingate|decision|deny,authorization,el2,el3,identity,Access denied events
twistlock|event_type|alert,ids_ips,el3,el3,endpoint,Runtime security alerts
typingdna|event_type|risk_event,authentication_failure,el1,el2,identity,High-risk authentication events
UFW|action|ALLOW,network_activity,el2,el2,network,Allowed traffic
UFW|action|BLOCK,network_activity,el2,el2,network,Dropped traffic
